"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Tests","Booking Endpoint","Create Booking - Parameterized","4","0","1","0","0"
"API Tests","Booking Endpoint","Create Booking","2","0","2","0","0"
"API Tests","Booking Endpoint","Update Booking","0","0","1","2","0"
"API Tests","Booking Endpoint","Get Booking","0","0","2","2","0"
"API Tests","Booking Endpoint","List Bookings","1","0","1","0","0"
"API Tests","Booking Endpoint","Authentication","0","0","3","0","0"
"UI Tests","Smoke Flow","Login Validation","0","0","2","0","0"
"UI Tests","Smoke Flow","Complete Purchase Flow","1","0","0","0","0"
